,Drug,Number_Genes,Phenotype_Essentiality,Phenotype_Safety,Gene_Pair,Pathways
0,Gemcitabine,3,1.66,1.0,CMPK1,Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion;Nucleotide interconversion
1,Gemcitabine,3,1.66,1.0,SLC29A2,"Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
2,Gemcitabine,3,1.66,1.0,TYMS,Nucleotide interconversion
3,Gemcitabine,3,1.66,1.0,SLC29A1,"Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
4,Trifluridine,3,1.33,1.0,TYMS,Nucleotide interconversion
5,Trifluridine,3,1.33,1.0,TYMP,Pyrimidine catabolism
6,Trifluridine,3,1.33,1.0,SLC29A2,"Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
7,Trifluridine,3,1.33,1.0,SLC29A1,"Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
8,Mercaptopurine,2,3.5,1.0,PPAT,Purine synthesis
9,Mercaptopurine,2,3.5,1.0,HPRT1,Purine catabolism;Nucleotide salvage pathway;Nucleotide salvage pathway
10,Mercaptopurine,2,3.5,1.0,SLC29A2,"Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
11,Mercaptopurine,2,3.5,1.0,SLC29A1,"Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
12,Tegafur-uracil,2,1.5,1.0,TYMS,Nucleotide interconversion
13,Tegafur-uracil,2,1.5,1.0,SLC29A2,"Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
14,Tegafur-uracil,2,1.5,1.0,SLC29A1,"Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, extracellular;Transport, extracellular;Transport, mitochondrial;Transport, nuclear"
